player_id,name,week,ppr_points,position,team,season
00-0032228,Joe Cardona,1,0.0,LS,NE,2024
00-0032265,Mario Edwards,1,0.0,DT,HOU,2024
00-0032366,Tyler Matakevich,1,0.0,MLB,PIT,2024
00-0032378,DeForest Buckner,1,0.0,DT,IND,2024
00-0032380,Laremy Tunsil,1,0.0,T,HOU,2024
00-0032395,Graham Glasgow,1,0.0,G,DET,2024
00-0032399,Miles Killebrew,1,0.0,SS,PIT,2024
00-0032401,De'Vondre Campbell,1,0.0,ILB,SF,2024
00-0032415,Matt Judon,1,0.0,OLB,ATL,2024
00-0032416,Quinton Jefferson,1,0.0,DE,CLE,2024
00-0032463,Kyle Peko,1,0.0,DT,DET,2024
00-0032521,Mike Hilton,1,0.0,CB,CIN,2024
00-0032569,Wil Lutz,1,0.0,K,DEN,2024
00-0032574,Michael Pierce,1,0.0,NT,BAL,2024
00-0032580,Jonathan Jones,1,0.0,CB,NE,2024
00-0032667,Roy Robertson-Harris,1,0.0,DT,JAX,2024
00-0032671,Morgan Fox,1,0.0,DT,LAC,2024
00-0032726,Ka'imi Fairbairn,1,0.0,K,HOU,2024
00-0032759,Sheldon Rankins,1,0.0,DT,CIN,2024
00-0032762,Chris Jones,1,0.0,DT,KC,2024
00-0032763,Austin Johnson,1,0.0,DT,BUF,2024
00-0032889,A'Shawn Robinson,1,0.0,DE,CAR,2024
00-0032892,Nick Vigil,1,0.0,ILB,DAL,2024
00-0032939,Vonn Bell,1,0.0,SS,CIN,2024
00-0032943,Riley Dixon,1,0.0,P,DEN,2024
00-0032965,Ronnie Stanley,1,0.0,T,BAL,2024
00-0032971,Justin Simmons,1,0.0,FS,ATL,2024
00-0033010,Sheldon Day,1,0.0,DT,WAS,2024
00-0033046,Jihad Ward,1,0.0,OLB,MIN,2024
00-0033051,David Onyemata,1,0.0,DT,ATL,2024
00-0033055,Jalen Ramsey,1,0.0,CB,MIA,2024
00-0033066,Andrew Billings,1,0.0,DT,CHI,2024
00-0033072,Leonard Floyd,1,0.0,DE,SF,2024
00-0033073,Emmanuel Ogbah,1,0.0,DE,MIA,2024
00-0033084,Kendall Fuller,1,0.0,CB,MIA,2024
00-0033093,Jonathan Bullard,1,0.0,DE,MIN,2024
00-0033109,Javon Hargrave,1,0.0,DT,SF,2024
00-0033120,Kenny Clark,1,0.0,DT,GB,2024
00-0033131,Maliek Collins,1,0.0,DT,SF,2024
00-0033132,Kevin Byard,1,0.0,FS,CHI,2024
00-0033156,Joey Bosa,1,0.0,DE,LAC,2024
00-0033217,Mo Alie-Cox,1,0.0,TE,IND,2024
00-0033269,Rigoberto Sanchez,1,0.0,P,IND,2024
00-0033281,Marlon Humphrey,1,0.0,CB,BAL,2024
00-0033290,Jermaine Eluemunor,1,0.0,T,NYG,2024
00-0033294,Chuck Clark,1,0.0,SS,NYJ,2024
00-0033297,D.J. Jones,1,0.0,NT,DEN,2024
00-0033303,Harrison Butker,1,0.0,K,KC,2024
00-0033336,Eric Wilson,1,0.0,ILB,GB,2024
00-0033381,Adam Butler,1,0.0,DT,LV,2024
00-0033393,Kenny Moore,1,0.0,CB,IND,2024
00-0033512,Damontae Kazee,1,0.0,SS,PIT,2024
00-0033523,Jonathan Allen,1,0.0,DT,WAS,2024
00-0033524,Kevin King,1,0.0,CB,ATL,2024
00-0033546,Dalvin Tomlinson,1,0.0,DT,CLE,2024
00-0033548,Chidobe Awuzie,1,0.0,CB,TEN,2024
00-0033551,Rasul Douglas,1,0.0,CB,BUF,2024
00-0033557,Jalen Reeves-Maybin,1,0.0,OLB,DET,2024
00-0033570,Anthony Walker,1,0.0,MLB,MIA,2024
00-0033576,Eric Saubert,1,0.0,TE,SF,2024
00-0033579,Xavier Woods,1,0.0,FS,CAR,2024
00-0033702,Younghoe Koo,1,0.0,K,ATL,2024
00-0033729,Cameron Johnston,1,0.0,P,PIT,2024
00-0033782,DeMarcus Walker,1,0.0,DE,CHI,2024
00-0033784,Eddie Jackson,1,0.0,FS,BAL,2024
00-0033787,Jake Elliott,1,0.0,K,PHI,2024
00-0033857,JuJu Smith-Schuster,1,0.0,WR,KC,2024
00-0033860,Davon Godchaux,1,0.0,NT,NE,2024
00-0033868,Myles Garrett,1,0.0,DE,CLE,2024
00-0033870,Solomon Thomas,1,0.0,DT,NYJ,2024
00-0033874,Marshon Lattimore,1,0.0,CB,NO,2024
00-0033876,Derek Barnett,1,0.0,DE,HOU,2024
00-0033877,Malik Hooker,1,0.0,FS,DAL,2024
00-0033878,Adoree' Jackson,1,0.0,CB,NYG,2024
00-0033883,Jabrill Peppers,1,0.0,SS,NE,2024
00-0033884,Tre'Davious White,1,0.0,CB,LA,2024
00-0033886,T.J. Watt,1,0.0,OLB,PIT,2024
00-0033889,Cam Robinson,1,0.0,T,JAX,2024
00-0033890,Budda Baker,1,0.0,SS,ARI,2024
00-0033894,Marcus Williams,1,0.0,FS,BAL,2024
00-0033904,Dion Dawkins,1,0.0,T,BUF,2024
00-0033905,Larry Ogunjobi,1,0.0,DT,PIT,2024
00-0033914,Alex Anzalone,1,0.0,ILB,DET,2024
00-0033926,Shaquill Griffin,1,0.0,CB,MIN,2024
00-0033927,John Johnson,1,0.0,SS,LA,2024
00-0033928,Jourdan Lewis,1,0.0,CB,DAL,2024
00-0033929,Montravius Adams,1,0.0,NT,PIT,2024
